datetime,region,latitude,longitude,wind_speed_kmh,pressure_hpa,humidity_pct,rainfall_mm,air_temp_c,tide_height_m,wave_height_m,sst_c,salinity_ppt,chlorophyll_mg_m3,turbidity_ntu,month,season,threat_type
2021-02-06,Mumbai,19.07,72.87,8.42,1008.41,63.93,0.35,23.41,1.53,0.1,25.88,34.82,0.528,2.49,2,Winter,No Threat
2021-02-07,Mumbai,19.07,72.87,16.57,1003.08,59.53,0.99,22.93,0.59,2.65,27.97,34.63,0.555,1.5,2,Winter,No Threat
2021-02-08,Mumbai,19.07,72.87,30.75,1004.46,48.94,0.47,26.51,1.38,2.09,24.73,34.4,0.189,1.0,2,Winter,No Threat
2021-02-09,Mumbai,19.07,72.87,22.37,1009.15,56.26,1.16,25.99,2.41,2.25,24.76,34.66,0.174,0.58,2,Winter,No Threat
2021-02-10,Mumbai,19.07,72.87,13.64,1016.58,58.49,0.31,24.78,1.0,1.23,23.0,35.2,0.478,1.16,2,Winter,No Threat
2021-02-11,Mumbai,19.07,72.87,13.57,1006.23,70.28,1.22,26.52,0.5,1.99,25.2,35.12,0.19,0.47,2,Winter,No Threat
2021-02-12,Mumbai,19.07,72.87,9.16,1005.68,71.39,0.25,21.85,3.17,0.35,25.82,34.55,0.216,1.91,2,Winter,No Threat
2021-02-13,Mumbai,19.07,72.87,17.91,1013.35,47.3,3.98,23.42,1.73,1.31,26.1,34.63,0.891,1.6,2,Winter,No Threat
2021-02-14,Mumbai,19.07,72.87,15.25,1002.5,68.94,1.64,24.95,0.18,1.91,25.68,35.34,0.287,2.7,2,Winter,No Threat
2021-02-15,Mumbai,19.07,72.87,17.88,991.8,49.2,3.45,26.04,2.0,0.19,26.28,35.19,0.107,2.56,2,Winter,No Threat
2021-02-16,Mumbai,19.07,72.87,20.86,1006.21,66.82,0.25,26.62,0.85,1.25,27.81,35.04,0.265,1.99,2,Winter,No Threat
2021-02-17,Mumbai,19.07,72.87,20.3,1000.58,74.64,1.54,28.43,1.76,3.12,25.07,34.02,0.084,3.02,2,Winter,No Threat
2021-02-18,Mumbai,19.07,72.87,20.67,1001.27,89.46,0.03,26.32,2.58,2.23,26.26,35.06,0.428,0.61,2,Winter,No Threat
2021-02-19,Mumbai,19.07,72.87,10.21,1016.57,64.1,0.18,27.95,1.54,2.27,23.97,35.71,0.308,0.94,2,Winter,No Threat
2021-02-20,Mumbai,19.07,72.87,15.06,997.36,52.1,2.01,22.76,0.61,1.47,24.65,34.67,0.348,0.64,2,Winter,No Threat
2021-02-21,Mumbai,19.07,72.87,25.42,997.9,54.83,4.87,27.29,1.35,1.19,29.09,34.74,0.354,1.43,2,Winter,No Threat
2021-02-22,Mumbai,19.07,72.87,14.12,1003.95,64.67,1.25,24.64,2.34,0.1,23.51,34.03,0.136,1.42,2,Winter,No Threat
2021-02-23,Mumbai,19.07,72.87,16.7,1004.77,73.33,0.79,22.68,2.07,2.59,26.87,34.11,0.23,1.65,2,Winter,No Threat
2021-02-24,Mumbai,19.07,72.87,8.69,1010.21,72.11,2.66,27.11,2.5,0.76,25.21,34.18,0.092,3.59,2,Winter,No Threat
2021-02-25,Mumbai,19.07,72.87,16.37,997.5,72.56,0.79,22.47,0.26,2.88,26.25,34.73,0.226,1.56,2,Winter,No Threat
2021-02-26,Mumbai,19.07,72.87,16.38,1010.9,61.36,0.47,25.86,2.8,2.16,25.25,34.54,0.125,1.3,2,Winter,No Threat
2021-02-27,Mumbai,19.07,72.87,17.88,1008.83,60.31,0.02,27.32,1.66,2.42,28.0,35.41,0.08,0.56,2,Winter,No Threat
2021-02-28,Mumbai,19.07,72.87,15.46,1004.04,66.87,0.42,24.11,0.59,1.11,27.61,34.26,0.554,0.44,2,Winter,No Threat
2021-03-01,Mumbai,19.07,72.87,26.88,1000.77,81.08,0.08,26.2,3.04,1.94,29.88,34.38,0.34,3.48,3,Pre-Monsoon,No Threat
2021-03-02,Mumbai,19.07,72.87,16.4,1013.02,81.32,0.48,32.43,0.44,2.49,26.92,34.65,0.82,1.31,3,Pre-Monsoon,No Threat
2021-03-03,Mumbai,19.07,72.87,26.51,1007.26,70.46,1.01,31.58,1.75,2.14,28.83,34.01,0.147,2.31,3,Pre-Monsoon,No Threat
2021-03-04,Mumbai,19.07,72.87,15.94,1008.68,84.38,0.06,28.71,0.65,2.03,27.25,35.57,0.284,1.3,3,Pre-Monsoon,No Threat
2021-03-05,Mumbai,19.07,72.87,14.81,998.0,83.68,1.44,30.71,1.54,2.39,27.88,35.62,2.202,1.04,3,Pre-Monsoon,No Threat
2021-03-06,Mumbai,19.07,72.87,21.67,1009.72,70.8,0.66,29.3,0.88,1.11,26.18,34.06,0.149,1.84,3,Pre-Monsoon,No Threat
2021-03-07,Mumbai,19.07,72.87,26.72,996.53,86.67,1.08,34.05,1.1,1.63,27.75,34.45,0.21,2.5,3,Pre-Monsoon,No Threat
2021-03-08,Mumbai,19.07,72.87,18.94,1002.41,69.48,0.38,31.58,2.9,2.42,27.49,34.89,0.262,1.72,3,Pre-Monsoon,No Threat
2021-03-09,Mumbai,19.07,72.87,14.46,1011.29,57.51,0.45,26.86,1.46,2.89,27.88,34.93,0.345,2.47,3,Pre-Monsoon,No Threat
2021-03-10,Mumbai,19.07,72.87,26.19,1001.58,81.82,0.47,34.62,1.62,2.2,29.62,35.04,0.484,1.87,3,Pre-Monsoon,No Threat
2021-03-11,Mumbai,19.07,72.87,23.55,1010.28,68.51,3.19,31.2,1.37,2.01,29.95,34.25,0.47,1.11,3,Pre-Monsoon,No Threat
2021-03-12,Mumbai,19.07,72.87,17.1,1011.36,61.4,1.51,31.87,2.37,1.86,28.82,34.53,0.538,1.31,3,Pre-Monsoon,No Threat
2021-03-13,Mumbai,19.07,72.87,22.92,996.73,73.14,1.85,28.99,1.55,1.4,29.93,33.85,0.224,1.6,3,Pre-Monsoon,No Threat
2021-03-14,Mumbai,19.07,72.87,21.05,1007.12,60.52,0.27,24.5,1.85,2.52,29.85,35.58,0.293,0.62,3,Pre-Monsoon,No Threat
2021-03-15,Mumbai,19.07,72.87,9.29,1013.7,83.98,0.39,29.48,0.71,2.49,28.4,35.46,0.46,1.6,3,Pre-Monsoon,No Threat
2021-03-16,Mumbai,19.07,72.87,22.06,1008.28,76.97,2.39,31.77,0.84,1.83,28.95,34.3,0.118,1.11,3,Pre-Monsoon,No Threat
2021-03-17,Mumbai,19.07,72.87,4.34,1009.76,68.65,0.91,32.49,1.19,0.1,26.6,35.24,0.656,1.59,3,Pre-Monsoon,No Threat
2021-03-18,Mumbai,19.07,72.87,11.15,1004.1,90.03,1.23,32.19,0.94,1.56,28.18,34.72,0.303,0.84,3,Pre-Monsoon,No Threat
2021-03-19,Mumbai,19.07,72.87,21.92,999.36,70.07,0.17,28.89,2.3,2.5,28.57,34.41,0.612,1.53,3,Pre-Monsoon,No Threat
2021-03-20,Mumbai,19.07,72.87,25.72,1004.39,88.17,0.9,30.49,1.7,3.5,28.06,34.9,0.153,0.92,3,Pre-Monsoon,No Threat
2021-03-21,Mumbai,19.07,72.87,33.92,1005.28,65.67,8.41,31.88,1.49,2.3,29.24,34.02,0.285,0.86,3,Pre-Monsoon,Algal Bloom
2021-03-22,Mumbai,19.07,72.87,15.58,1011.71,62.74,6.59,26.34,0.53,3.07,28.37,35.74,0.095,1.18,3,Pre-Monsoon,No Threat
2021-03-23,Mumbai,19.07,72.87,22.67,1001.59,88.77,0.21,31.94,1.76,2.06,27.84,34.39,0.343,2.44,3,Pre-Monsoon,No Threat
2021-03-24,Mumbai,19.07,72.87,22.58,995.68,86.49,0.27,25.65,1.69,1.82,29.47,34.05,0.849,0.8,3,Pre-Monsoon,No Threat
2021-03-25,Mumbai,19.07,72.87,0.0,1009.15,72.41,0.43,33.08,2.37,1.8,28.08,34.58,0.271,4.19,3,Pre-Monsoon,No Threat
2021-03-26,Mumbai,19.07,72.87,23.06,1005.71,72.41,0.47,29.51,1.51,1.41,28.34,34.17,0.301,1.59,3,Pre-Monsoon,No Threat
2021-03-27,Mumbai,19.07,72.87,13.75,1006.83,73.66,1.09,32.71,2.73,1.51,29.83,34.15,0.571,0.69,3,Pre-Monsoon,No Threat
2021-03-28,Mumbai,19.07,72.87,11.93,1016.43,83.7,4.34,31.24,1.47,2.96,29.66,34.9,0.244,1.47,3,Pre-Monsoon,No Threat
2021-03-29,Mumbai,19.07,72.87,11.6,1010.1,64.1,1.58,34.08,1.67,1.02,28.42,34.97,0.453,1.62,3,Pre-Monsoon,No Threat
2021-03-30,Mumbai,19.07,72.87,22.85,1007.34,86.89,2.47,26.93,1.92,2.33,30.05,34.59,0.385,0.77,3,Pre-Monsoon,No Threat
2021-03-31,Mumbai,19.07,72.87,5.18,1003.33,59.47,0.7,29.24,2.48,2.06,27.67,36.0,0.768,1.02,3,Pre-Monsoon,No Threat
2021-04-01,Mumbai,19.07,72.87,0.0,1018.16,85.23,1.4,36.1,1.91,1.6,28.2,35.01,0.301,1.74,4,Pre-Monsoon,No Threat
2021-04-02,Mumbai,19.07,72.87,11.48,999.84,84.71,1.16,28.46,2.06,0.45,27.31,35.34,0.159,1.11,4,Pre-Monsoon,No Threat
2021-04-03,Mumbai,19.07,72.87,19.28,996.71,68.99,1.26,30.8,2.35,1.73,27.81,34.81,0.511,1.37,4,Pre-Monsoon,No Threat
2021-04-04,Mumbai,19.07,72.87,20.61,1006.54,80.0,0.79,26.76,0.77,1.33,27.64,35.32,0.276,2.58,4,Pre-Monsoon,No Threat
2021-04-05,Mumbai,19.07,72.87,8.46,1013.15,63.12,2.0,30.77,1.3,1.77,29.97,35.73,0.102,1.51,4,Pre-Monsoon,No Threat
2021-04-06,Mumbai,19.07,72.87,24.87,994.11,79.15,0.78,28.07,2.52,1.56,29.18,35.76,0.258,1.1,4,Pre-Monsoon,No Threat
2021-04-07,Mumbai,19.07,72.87,9.85,999.52,75.34,0.11,28.08,1.15,1.99,29.74,34.86,0.507,4.28,4,Pre-Monsoon,No Threat
2021-04-08,Mumbai,19.07,72.87,13.61,1003.64,72.4,0.09,34.32,1.86,1.66,29.15,34.25,0.401,0.52,4,Pre-Monsoon,No Threat
2021-04-09,Mumbai,19.07,72.87,11.77,1004.42,85.91,3.93,31.52,1.2,0.57,28.59,35.19,0.372,2.7,4,Pre-Monsoon,No Threat
2021-04-10,Mumbai,19.07,72.87,9.62,1008.97,80.04,1.85,31.46,1.05,0.56,26.3,35.07,0.145,0.42,4,Pre-Monsoon,No Threat
2021-04-11,Mumbai,19.07,72.87,17.91,1018.77,75.82,0.72,29.75,1.87,2.16,27.89,34.64,0.135,1.01,4,Pre-Monsoon,No Threat
2021-04-12,Mumbai,19.07,72.87,11.07,1013.59,72.75,2.97,30.49,1.51,2.1,30.17,35.08,0.353,0.69,4,Pre-Monsoon,No Threat
2021-04-13,Mumbai,19.07,72.87,7.63,1005.81,75.57,5.06,31.32,0.45,0.98,25.03,34.87,0.439,1.0,4,Pre-Monsoon,No Threat
2021-04-14,Mumbai,19.07,72.87,13.87,1000.26,68.11,7.91,29.84,1.62,1.38,27.76,34.46,0.257,1.72,4,Pre-Monsoon,No Threat
2021-04-15,Mumbai,19.07,72.87,18.99,1006.7,84.5,1.12,26.29,0.9,1.62,28.35,35.37,0.233,0.65,4,Pre-Monsoon,No Threat
2021-04-16,Mumbai,19.07,72.87,26.43,1002.01,74.7,0.98,29.56,1.2,2.27,26.73,34.89,0.346,1.75,4,Pre-Monsoon,No Threat
2021-04-17,Mumbai,19.07,72.87,22.58,998.04,74.73,0.24,27.67,2.23,1.27,25.74,34.53,0.174,0.32,4,Pre-Monsoon,No Threat
2021-04-18,Mumbai,19.07,72.87,23.14,1001.85,59.01,2.76,28.98,2.82,1.47,29.39,34.92,0.992,3.2,4,Pre-Monsoon,No Threat
2021-04-19,Mumbai,19.07,72.87,18.46,999.34,95.13,0.06,30.34,1.66,1.44,27.54,35.58,0.16,0.54,4,Pre-Monsoon,No Threat
2021-04-20,Mumbai,19.07,72.87,17.14,1009.77,77.83,2.17,28.23,2.12,1.18,26.79,35.66,0.27,1.14,4,Pre-Monsoon,No Threat
2021-04-21,Mumbai,19.07,72.87,24.92,1009.64,68.56,5.87,32.32,2.39,3.21,29.39,35.04,0.177,1.78,4,Pre-Monsoon,No Threat
2021-04-22,Mumbai,19.07,72.87,15.81,1001.64,57.62,1.42,25.13,1.38,1.48,28.87,35.26,0.697,0.92,4,Pre-Monsoon,No Threat
2021-04-23,Mumbai,19.07,72.87,13.92,1010.45,79.91,2.25,31.84,0.89,1.97,28.89,34.77,0.325,1.25,4,Pre-Monsoon,No Threat
2021-04-24,Mumbai,19.07,72.87,20.22,1003.84,79.94,1.17,31.81,1.66,3.63,29.18,33.72,0.639,1.57,4,Pre-Monsoon,No Threat
2021-04-25,Mumbai,19.07,72.87,21.76,1004.39,72.91,2.41,27.87,1.66,0.87,29.36,35.62,0.232,0.74,4,Pre-Monsoon,No Threat
2021-04-26,Mumbai,19.07,72.87,10.14,1012.02,70.46,3.14,27.95,2.54,1.22,28.77,35.3,0.113,0.57,4,Pre-Monsoon,No Threat
2021-04-27,Mumbai,19.07,72.87,5.61,1019.75,69.36,1.3,30.46,2.62,2.69,30.46,35.35,0.212,2.04,4,Pre-Monsoon,No Threat
2021-04-28,Mumbai,19.07,72.87,21.54,1008.8,84.48,1.09,31.71,0.82,1.71,27.64,33.66,0.328,1.17,4,Pre-Monsoon,No Threat
2021-04-29,Mumbai,19.07,72.87,18.45,1011.33,87.21,0.19,31.46,2.19,1.54,29.94,33.63,0.128,1.49,4,Pre-Monsoon,No Threat
2021-04-30,Mumbai,19.07,72.87,6.31,1003.78,56.04,4.24,30.43,1.22,0.27,29.12,34.4,0.137,0.43,4,Pre-Monsoon,No Threat
2021-05-01,Mumbai,19.07,72.87,24.17,1010.7,68.98,1.41,31.17,1.74,1.52,28.92,34.84,0.16,0.77,5,Pre-Monsoon,No Threat
2021-05-02,Mumbai,19.07,72.87,13.57,1002.98,71.96,2.25,33.92,1.49,1.08,25.59,35.29,0.631,1.13,5,Pre-Monsoon,No Threat
2021-05-03,Mumbai,19.07,72.87,8.52,1008.96,82.94,0.33,26.86,0.7,3.15,28.6,35.0,0.183,1.01,5,Pre-Monsoon,No Threat
2021-05-04,Mumbai,19.07,72.87,17.03,1001.28,85.18,0.18,36.66,1.76,2.2,28.71,34.58,0.181,1.27,5,Pre-Monsoon,No Threat
2021-05-05,Mumbai,19.07,72.87,12.82,993.35,51.37,1.58,27.48,1.07,1.64,30.18,34.8,0.209,1.24,5,Pre-Monsoon,No Threat
2021-05-06,Mumbai,19.07,72.87,9.31,1009.2,86.62,1.1,28.08,1.69,1.3,28.15,33.84,0.709,1.2,5,Pre-Monsoon,No Threat
2021-05-07,Mumbai,19.07,72.87,16.59,1019.48,70.74,2.24,32.87,0.4,1.84,28.94,35.58,0.905,1.77,5,Pre-Monsoon,No Threat
2021-05-08,Mumbai,19.07,72.87,13.73,1005.16,84.83,0.57,31.64,1.3,1.33,27.35,35.04,1.822,0.66,5,Pre-Monsoon,No Threat
2021-05-09,Mumbai,19.07,72.87,15.72,1013.25,64.38,3.2,31.07,0.79,1.49,28.54,34.58,1.469,1.53,5,Pre-Monsoon,No Threat
2021-05-10,Mumbai,19.07,72.87,13.33,1009.59,93.08,0.57,30.88,2.3,1.52,25.95,34.42,0.988,1.21,5,Pre-Monsoon,No Threat
2021-05-11,Mumbai,19.07,72.87,15.21,1004.01,72.61,0.23,29.08,1.11,0.24,29.42,35.55,0.104,2.54,5,Pre-Monsoon,No Threat
2021-05-12,Mumbai,19.07,72.87,15.67,1011.69,78.72,0.59,28.02,1.23,1.81,28.84,34.63,0.56,0.93,5,Pre-Monsoon,No Threat
2021-05-13,Mumbai,19.07,72.87,20.99,1000.85,65.0,0.05,28.31,2.13,0.91,29.37,35.2,0.133,1.98,5,Pre-Monsoon,No Threat
2021-05-14,Mumbai,19.07,72.87,12.53,1009.79,57.95,3.0,24.31,0.21,2.17,27.86,34.69,0.456,1.5,5,Pre-Monsoon,No Threat
2021-05-15,Mumbai,19.07,72.87,22.11,1000.67,82.39,0.03,31.54,2.05,1.49,29.29,34.57,0.459,0.82,5,Pre-Monsoon,No Threat
2021-05-16,Mumbai,19.07,72.87,2.02,1009.26,58.94,0.53,31.95,2.09,2.46,28.37,34.69,0.37,2.44,5,Pre-Monsoon,No Threat
2021-05-17,Mumbai,19.07,72.87,16.24,1007.32,76.9,1.09,32.5,0.43,1.21,30.27,34.57,0.711,1.43,5,Pre-Monsoon,No Threat
2021-05-18,Mumbai,19.07,72.87,32.64,998.14,64.86,1.08,31.96,1.37,1.59,31.11,34.67,0.386,1.72,5,Pre-Monsoon,No Threat
2021-05-19,Mumbai,19.07,72.87,13.1,1014.93,67.58,0.96,26.7,1.39,0.15,29.04,34.04,0.171,0.85,5,Pre-Monsoon,No Threat
2021-05-20,Mumbai,19.07,72.87,20.4,1002.76,79.8,0.52,36.83,1.42,2.28,28.76,34.34,0.271,0.77,5,Pre-Monsoon,No Threat
2021-05-21,Mumbai,19.07,72.87,30.89,1000.72,67.92,0.82,26.22,2.02,2.0,29.43,35.7,0.731,0.91,5,Pre-Monsoon,No Threat
2021-05-22,Mumbai,19.07,72.87,13.18,1003.66,66.68,0.69,24.48,1.39,0.9,28.34,34.83,0.292,0.85,5,Pre-Monsoon,No Threat
2021-05-23,Mumbai,19.07,72.87,11.39,1011.61,74.01,1.52,30.05,1.64,2.07,28.96,35.15,0.367,0.84,5,Pre-Monsoon,No Threat
2021-05-24,Mumbai,19.07,72.87,20.91,999.53,55.41,1.96,31.83,2.1,2.13,27.72,35.83,0.135,2.18,5,Pre-Monsoon,No Threat
2021-05-25,Mumbai,19.07,72.87,27.97,997.76,77.89,3.73,30.65,0.42,1.55,26.3,35.43,1.244,2.1,5,Pre-Monsoon,Erosion
2021-05-26,Mumbai,19.07,72.87,9.8,1012.04,65.36,0.04,28.92,2.3,2.47,27.83,34.67,0.091,0.74,5,Pre-Monsoon,No Threat
2021-05-27,Mumbai,19.07,72.87,14.65,1012.5,74.74,1.75,30.7,1.48,0.84,28.51,34.48,0.323,1.62,5,Pre-Monsoon,No Threat
2021-05-28,Mumbai,19.07,72.87,1.49,1007.03,74.07,3.29,30.57,2.21,1.5,28.37,35.0,0.1,0.77,5,Pre-Monsoon,Erosion
2021-05-29,Mumbai,19.07,72.87,18.69,1009.57,81.38,0.87,31.25,0.87,1.15,26.99,34.26,0.368,1.66,5,Pre-Monsoon,No Threat
2021-05-30,Mumbai,19.07,72.87,19.95,992.68,72.95,0.77,35.84,2.16,3.17,27.02,35.08,0.241,1.16,5,Pre-Monsoon,Pollution
2021-05-31,Mumbai,19.07,72.87,30.49,994.27,85.86,0.21,30.24,1.28,2.31,27.7,35.32,0.317,0.6,5,Pre-Monsoon,No Threat
2021-06-01,Mumbai,19.07,72.87,23.58,1006.97,60.52,1.14,27.89,1.14,2.87,25.94,36.0,0.815,1.43,6,Monsoon,No Threat
2021-06-02,Mumbai,19.07,72.87,24.62,1005.33,80.56,1.12,30.22,2.19,1.8,28.34,35.38,2.263,1.4,6,Monsoon,No Threat
2021-06-03,Mumbai,19.07,72.87,40.86,998.74,70.9,2.22,28.13,1.11,3.03,29.64,35.06,0.625,1.75,6,Monsoon,No Threat
2021-06-04,Mumbai,19.07,72.87,21.91,1007.09,86.89,9.35,31.77,1.02,2.01,27.52,34.6,0.094,0.92,6,Monsoon,No Threat
2021-06-05,Mumbai,19.07,72.87,21.6,1000.51,75.3,1.78,31.52,1.48,1.28,29.29,35.33,0.097,0.85,6,Monsoon,No Threat
2021-06-06,Mumbai,19.07,72.87,21.16,998.56,72.35,1.28,24.99,1.52,1.85,26.52,35.5,0.177,1.53,6,Monsoon,No Threat
2021-06-07,Mumbai,19.07,72.87,33.39,1002.42,68.51,5.74,30.47,1.96,1.52,29.07,34.99,0.817,6.57,6,Monsoon,No Threat
2021-06-08,Mumbai,19.07,72.87,25.02,996.41,68.05,4.97,28.98,1.1,1.96,29.65,34.08,0.176,2.61,6,Monsoon,No Threat
2021-06-09,Mumbai,19.07,72.87,24.13,997.9,85.27,11.12,28.34,1.98,1.83,28.97,34.52,0.433,1.4,6,Monsoon,No Threat
2021-06-10,Mumbai,19.07,72.87,12.44,1007.45,84.65,16.91,33.09,0.83,2.31,28.74,34.29,0.247,2.15,6,Monsoon,Algal Bloom
2021-06-11,Mumbai,19.07,72.87,11.09,1006.08,60.59,2.3,29.48,1.16,1.43,27.96,35.63,0.455,1.55,6,Monsoon,No Threat
2021-06-12,Mumbai,19.07,72.87,31.95,994.57,81.7,4.68,27.32,1.02,1.87,30.03,35.19,0.827,0.76,6,Monsoon,No Threat
2021-06-13,Mumbai,19.07,72.87,34.2,995.64,66.22,0.3,26.47,1.49,1.52,29.39,34.49,0.292,0.68,6,Monsoon,No Threat
2021-06-14,Mumbai,19.07,72.87,16.53,1005.66,74.81,16.55,29.34,2.67,1.85,29.76,34.03,0.385,3.86,6,Monsoon,No Threat
2021-06-15,Mumbai,19.07,72.87,25.64,1001.78,53.38,2.32,30.64,1.56,2.0,28.71,34.9,0.293,3.05,6,Monsoon,Pollution
2021-06-16,Mumbai,19.07,72.87,10.68,999.37,73.24,0.3,34.15,1.78,1.56,28.25,34.4,0.206,0.85,6,Monsoon,No Threat
2021-06-17,Mumbai,19.07,72.87,26.74,999.83,78.26,5.05,29.08,2.41,1.29,27.53,33.94,0.29,1.84,6,Monsoon,No Threat
2021-06-18,Mumbai,19.07,72.87,27.71,1001.61,66.65,0.72,35.22,1.49,2.44,28.5,33.81,0.229,1.41,6,Monsoon,No Threat
2021-06-19,Mumbai,19.07,72.87,39.23,991.35,69.36,0.91,29.79,0.61,2.19,27.98,35.14,0.097,1.63,6,Monsoon,No Threat
2021-06-20,Mumbai,19.07,72.87,37.52,990.6,79.26,7.08,30.05,1.42,1.46,27.35,35.16,1.066,2.78,6,Monsoon,No Threat
